UT,ID,AZ,OK,MS,NC,TN,FL,NV,TX,SD,AL,CO,NM,GA,AR,IN,KY,KS,SC,MO,OR,LA,IA,WV,MT,VA,WI,CA,WA,MI,OH,NE,MN,ME,ND,HI,IL,MD,DE,NH,PA,RI,MA,AK,VT,NJ,CT,D.C.,NY
1.9964148,2.3325906,3.2532005,2.6370422,3.8457800,2.4679822,3.5327627,2.4405336,2.6137565,2.5691778,1.9036723,3.3351475,1.4056792,4.4856346,2.6356298,3.2429068,1.8852201,2.7778012,1.5989550,2.8582858,2.3459317,1.9236191,3.3865912,0.8324842,2.5223576,1.6783365,0.7226285,0.9701763,3.4339700,0.9537291,2.0682773,1.5233670,0.6218741,0.4461734,1.3533473,0.4182600,0.0000000,1.4459789,1.5220712,1.5125312,0.9339071,0.9170264,1.2139304,1.0921915,4.4658746,1.3563808,1.3972982,1.6804993,7.9704986,3.0401853
2.5811895,2.5715817,2.4536701,1.9152800,3.2993430,1.9452873,2.4364557,1.8809346,1.7777426,1.7684791,1.4834963,2.3816313,1.5680835,3.2257288,1.9823704,2.2221517,1.3795499,2.4706686,1.3102709,1.9140887,1.4177394,1.6946941,2.2121957,1.3961051,1.8768384,1.2020578,1.7641973,1.1631448,3.0908316,1.1567310,1.1426355,1.1841773,1.1503058,1.5921075,2.0366396,1.5053424,1.4459789,0.0000000,1.3303679,0.7392673,2.2127856,0.8686556,1.3179695,1.1840809,3.9310673,2.1025549,2.0258191,2.2348043,7.0187190,2.5357273
2.6954797,3.1377515,3.3034354,2.7046648,4.4558636,2.8972941,3.1941056,2.7379030,2.3372842,2.7117728,1.9723429,3.3680629,1.6432318,4.0177510,3.0937174,3.1720085,2.1617999,3.5821298,1.7291849,2.8836877,2.1214470,2.6792632,3.3094906,1.6378138,3.0253535,2.0830405,1.9408153,1.6588905,3.6664409,1.6544027,2.1722328,2.2527832,1.4039690,1.6455692,2.7111316,1.4404974,1.5220712,1.3303679,0.0000000,1.0414324,1.8436934,1.5746153,2.1963947,1.1163417,3.6796765,2.3698781,2.0047728,2.1470849,7.1638097,3.1258891
2.8227369,3.0430534,3.0148046,2.3031990,3.9434733,2.5090718,2.9223605,2.4785316,2.2341432,2.2207882,1.8772740,2.9968109,1.7081270,3.6790287,2.5885440,2.8355931,1.9100736,3.0795686,1.6948271,2.5596229,1.9506462,2.3191837,2.7775112,1.6050360,2.5675268,1.8495908,1.8861531,1.5368445,3.7787242,1.3429831,1.8206350,1.7610156,1.2604430,1.6167002,2.4555722,1.6565583,1.5125312,0.7392673,1.0414324,0.0000000,2.0881152,1.1633619,1.7022917,0.7457197,4.2272553,2.2231646,1.8455499,1.9348111,6.5700304,2.4701514
2.6015662,3.1001020,4.1599723,3.5461291,4.7196274,3.3909166,4.4032818,3.3448387,3.4609089,3.4948349,2.7639833,4.2386879,2.1600488,5.3336139,3.5589940,4.1301175,2.7950611,3.6395355,2.4485443,3.7465628,3.2015658,2.8070371,4.2774562,1.6736441,3.4066621,2.5694172,1.4173062,1.8725979,4.0474766,1.8442080,2.9545636,2.4339428,1.4947705,1.1582291,1.9388141,1.0275908,0.9339071,2.2127856,1.8436934,2.0881152,0.0000000,1.5905599,1.8552647,1.4327598,4.6683666,1.2905859,1.1468240,1.3743322,8.3091637,3.2219208
2.5724221,2.5871892,2.9974662,2.4900854,3.4845466,2.2890313,3.1540228,2.2675455,2.4355292,2.3217882,1.9440291,2.9235965,1.7930235,3.9617123,2.3039571,2.8046489,1.7788036,2.5150974,1.6886140,2.4444634,2.0709831,1.7251147,2.8202246,1.3088470,2.0872558,1.4464352,1.4334960,1.1618782,3.1759310,1.1755998,1.6455696,1.2120127,1.0213341,1.2352751,1.4351764,1.0756593,0.9170264,0.8686556,1.5746153,1.1633619,1.5905599,0.0000000,0.6299175,1.0021649,4.1490341,1.2491981,1.3360917,1.6299229,7.5364710,2.2970361
2.6721923,2.5000956,3.0411970,2.6108697,3.1792388,2.2409568,3.3207319,2.2903510,2.6877298,2.3925782,2.1885016,2.9297201,2.1102794,4.1045339,2.1737977,2.8607268,1.9117540,2.1887310,1.9691497,2.4951472,2.3199306,1.5499227,2.8406725,1.5551761,1.9049794,1.5345424,1.5622027,1.3855164,3.1383006,1.4123169,1.7720719,1.1101155,1.3613671,1.4815109,1.0467852,1.4062295,1.2139304,1.3179695,2.1963947,1.7022917,1.8552647,0.6299175,0.0000000,1.5275550,4.4987680,1.1718841,1.5509039,1.8541085,7.8306636,2.3235503
2.8014219,3.1357246,3.5184586,2.7953961,4.2721707,2.8678527,3.5492230,2.8545871,2.7623153,2.7125926,2.2351519,3.5226656,1.8364867,4.3568289,2.9631629,3.3817500,2.2571941,3.2933843,1.9812009,3.0577801,2.4710638,2.4962963,3.3648166,1.5365503,2.8889264,2.1172504,1.6182015,1.5847864,3.9924216,1.3720477,2.2562428,1.9338682,1.1418632,1.2759359,2.2131814,1.3274945,1.0921915,1.1840809,1.1163417,0.7457197,1.4327598,1.0021649,1.5275550,0.0000000,4.4383379,1.6916595,1.1851018,1.2656660,6.9703098,2.3925123
5.1689767,5.1186697,4.5950627,4.8850579,5.5989058,4.7953348,4.2035948,4.4202145,3.9923010,4.8289125,4.3023591,4.4109245,4.5508724,4.3986381,4.8478275,4.1434479,4.3277909,5.2779142,4.1849547,4.0583679,3.8235873,4.5818748,4.4414370,4.5303066,4.4792190,4.0374116,4.8965215,4.3239361,3.2531318,4.6717304,3.9271434,4.5406473,4.4918455,4.7470294,4.8728621,4.1595052,4.4658746,3.9310673,3.6796765,4.2272553,4.6683666,4.1490341,4.4987680,4.4383379,0.0000000,4.5374022,4.6551779,4.9199483,9.1537533,4.8906133
3.1826803,3.2569367,4.0829873,3.6421695,4.2458048,3.2991955,4.3245860,3.2882573,3.5870809,3.4713622,3.0258606,3.9954185,2.7140290,5.1081428,3.2937956,3.8958386,2.8579657,3.2422668,2.7374727,3.5208429,3.2292540,2.5572038,3.9314698,2.1050862,2.9860622,2.4637185,1.9275984,2.0910865,3.6929210,2.1305284,2.7692434,2.1886323,1.8868739,1.7492305,1.5417980,1.5063178,1.3563808,2.1025549,2.3698781,2.2231646,1.2905859,1.2491981,1.1718841,1.6916595,4.5374022,0.0000000,0.8776681,1.2491548,8.3218019,2.3774598
3.3845804,3.6455381,4.3201154,3.7234142,4.7195194,3.5738529,4.4403723,3.5692095,3.6781356,3.5862310,3.1171534,4.2573685,2.7009992,5.2068828,3.6009906,4.1301755,3.0405914,3.7024553,2.8267380,3.7757049,3.3376729,2.9649320,4.1102578,2.1913249,3.3840889,2.7421774,2.0456056,2.2442896,4.2490291,2.1444700,2.9732383,2.4708926,1.8651842,1.7473336,2.1508967,1.6304544,1.3972982,2.0258191,2.0047728,1.8455499,1.1468240,1.3360917,1.5509039,1.1851018,4.6551779,0.8776681,0.0000000,0.4096923,7.6739989,2.1278527
3.6375930,3.9447211,4.5818702,3.9265472,5.0006349,3.8369961,4.6698613,3.8524005,3.9211370,3.7958475,3.3612665,4.5217843,2.9149365,5.4150293,3.8608983,4.3936590,3.3047294,3.9839343,3.0807194,4.0507165,3.5897228,3.2706590,4.3343076,2.4451821,3.6784564,3.0449558,2.2879905,2.5220317,4.6312237,2.3594256,3.2463846,2.7448929,2.0963447,1.9756550,2.4851863,1.9458789,1.6804993,2.2348043,2.1470849,1.9348111,1.3743322,1.6299229,1.8541085,1.2656660,4.9199483,1.2491548,0.4096923,0.0000000,7.4388959,2.0817297
8.8366751,8.9924215,7.9969037,7.3821090,8.8099337,7.9961776,7.4278839,8.1021872,7.5956650,7.3472039,7.7389300,7.8725225,7.7906947,7.2371041,7.9058400,7.7581883,7.7979664,8.5059156,7.7832406,7.8180321,7.5251326,8.2722291,7.2682701,7.9609764,8.1120931,7.9641594,8.1843346,7.9109406,9.6440153,7.5815121,7.6064137,7.7865290,7.6684129,7.9618879,8.7125496,8.1953400,7.9704986,7.0187190,7.1638097,6.5700304,8.3091637,7.5364710,7.8306636,6.9703098,9.1537533,8.3218019,7.6739989,7.4388959,0.0000000,6.6140086
4.8299765,4.7341956,4.6235023,4.1979591,4.7636566,4.0932323,4.4985639,4.1364938,4.1975502,3.9483961,3.9854607,4.3222695,3.9478874,4.8448718,3.8888424,4.1805742,3.7722138,4.0688316,3.8048533,3.9565304,3.8050209,3.6322496,3.8585110,3.5529522,3.6196017,3.4586747,3.6053855,3.4106955,4.7319214,3.2964380,3.3612946,3.1271649,3.2016136,3.3599826,3.3161335,3.2611113,3.0401853,2.5357273,3.1258891,2.4701514,3.2219208,2.2970361,2.3235503,2.3925123,4.8906133,2.3774598,2.1278527,2.0817297,6.6140086,0.0000000
