UT,ID,AZ,OK,MS,NC,TN,FL,NV,TX,SD,AL,CO,NM,GA,AR,IN,KY,KS,SC,MO,OR,LA,IA,WV,MT,VA,WI,CA,WA,MI,OH,NE,MN,ME,ND,HI,IL,MD,DE,NH,PA,RI,MA,AK,VT,NJ,CT,D.C.,NY
1.5183308,1.5030058,1.5534188,0.9729461,2.8310533,1.1169678,1.8713008,0.9561022,0.8584022,1.0749231,0.0000000,1.8432167,0.8201318,2.9698127,1.5013862,1.7749523,0.4733033,2.0745730,0.3252008,1.4707567,0.8318433,1.3402515,2.1084171,1.1646946,1.6871703,0.8971111,1.6617427,0.9788610,2.7708462,1.1488570,1.0417026,1.2849154,1.3542826,1.7461078,2.2236887,1.8041952,1.9036723,1.4834963,1.9723429,1.8772740,2.7639833,1.9440291,2.1885016,2.2351519,4.3023591,3.0258606,3.1171534,3.3612665,7.7389300,3.9854607
3.0353594,2.3346173,0.5889600,1.3857796,1.6758251,1.2084585,0.8694813,1.0970557,1.3112554,1.2263994,1.8432167,0.0000000,2.6439974,1.5996450,1.0841736,0.3000915,1.5753507,1.7487991,2.0573487,0.5280050,1.2954017,1.7482592,0.7353235,2.7790115,1.2071938,1.6876705,3.2085880,2.4477421,2.3490214,2.6430888,1.3127963,1.9905392,2.8903587,3.3113685,3.0745162,3.2600563,3.3351475,2.3816313,3.3680629,2.9968109,4.2386879,2.9235965,2.9297201,3.5226656,4.4109245,3.9954185,4.2573685,4.5217843,7.8725225,4.3222695
1.1790547,1.6796549,2.3561165,1.6240037,3.4509126,1.7549308,2.6623228,1.6835541,1.6273956,1.7318554,0.8201318,2.6439974,0.0000000,3.7413315,2.1240436,2.5754898,1.1145133,2.5280539,0.6336418,2.2488189,1.5680881,1.7162252,2.8495709,0.6510259,2.2713874,1.3408893,1.0800936,0.7759030,3.2784035,0.7837171,1.6545453,1.5070886,0.8700168,1.1322739,2.0798451,1.3382890,1.4056792,1.5680835,1.6432318,1.7081270,2.1600488,1.7930235,2.1102794,1.8364867,4.5508724,2.7140290,2.7009992,2.9149365,7.7906947,3.9478874
4.3600854,3.8412452,1.8882004,2.4668642,2.9845892,2.7004399,1.1302063,2.5612465,2.1729568,2.3975543,2.9698127,1.5996450,3.7413315,0.0000000,2.5859266,1.4907675,2.8609776,3.2890508,3.1871866,1.8640463,2.2381230,3.2468692,1.4051034,3.9916524,2.6804223,2.9938094,4.4819354,3.6766421,3.3195428,3.8144091,2.4846235,3.3237462,4.0195151,4.4967503,4.4961704,4.4041618,4.4856346,3.2257288,4.0177510,3.6790287,5.3336139,3.9617123,4.1045339,4.3568289,4.3986381,5.1081428,5.2068828,5.4150293,7.2371041,4.8448718
2.4133924,1.6575187,1.1105540,1.1230654,1.4168972,0.4856638,1.7369968,0.7548645,1.5360792,0.8443617,1.5013862,1.0841736,2.1240436,2.5859266,0.0000000,1.2181486,1.0804091,0.8366432,1.6479628,0.9730598,1.3950103,0.8911099,1.3150582,2.0999363,0.5922515,1.1725552,2.4172038,1.7955737,2.5824996,1.9185602,1.0596059,1.1535438,2.2181923,2.5708218,2.1929462,2.6485683,2.6356298,1.9823704,3.0937174,2.5885440,3.5589940,2.3039571,2.1737977,2.9631629,4.8478275,3.2937956,3.6009906,3.8608983,7.9058400,3.8888424
3.0565551,2.4277213,0.7288196,1.4206526,1.9313507,1.3135507,0.7256686,1.1359650,1.1720472,1.2677407,1.7749523,0.3000915,2.5754898,1.4907675,1.2181486,0.0000000,1.5336437,1.9198381,1.9705631,0.4034118,1.1215722,1.7855762,0.6844053,2.7160423,1.2654369,1.6134026,3.1695797,2.3772133,2.2733604,2.5855160,1.1857801,1.9705235,2.8057664,3.2431751,3.0731159,3.1530665,3.2429068,2.2221517,3.1720085,2.8355931,4.1301175,2.8046489,2.8607268,3.3817500,4.1434479,3.8958386,4.1301755,4.3936590,7.7581883,4.1805742
1.6795348,1.3801752,1.3804126,0.9221969,2.4280094,0.7560548,1.7999751,0.6349647,0.9551284,0.8711172,0.4733033,1.5753507,1.1145133,2.8609776,1.0804091,1.5336437,0.0000000,1.6399583,0.5699721,1.1811470,0.7899224,0.9048095,1.8274647,1.2197491,1.2248150,0.5374770,1.6736003,0.9301076,2.5505660,1.1391774,0.7052903,0.9039219,1.3843502,1.7820119,1.9513616,1.8200366,1.8852201,1.3795499,2.1617999,1.9100736,2.7950611,1.7788036,1.9117540,2.2571941,4.3277909,2.8579657,3.0405914,3.3047294,7.7979664,3.7722138
2.5224733,1.5939715,1.7845763,1.8510567,1.1304982,1.0797835,2.5157180,1.3481545,2.2835078,1.6128515,2.0745730,1.7487991,2.5280539,3.2890508,0.8366432,1.9198381,1.6399583,0.0000000,2.1503402,1.6775693,2.1270262,0.9558817,2.0050188,2.3428685,0.8739074,1.5859582,2.5046615,2.0808738,2.6642634,2.2164846,1.6873001,1.3757519,2.4921794,2.7223048,1.9292786,2.8157243,2.7778012,2.4706686,3.5821298,3.0795686,3.6395355,2.5150974,2.1887310,3.2933843,5.2779142,3.2422668,3.7024553,3.9839343,8.5059156,4.0688316
1.4541094,1.5408981,1.8211659,1.2576139,2.9854364,1.3002015,2.1131684,1.1408168,1.0914091,1.3112432,0.3252008,2.0573487,0.6336418,3.1871866,1.6479628,1.9705631,0.5699721,2.1503402,0.0000000,1.6346827,0.9721999,1.3158183,2.2844202,0.8881906,1.7477491,0.8098750,1.4075404,0.7002964,2.7533458,0.9280170,1.0659305,1.1850252,1.0736436,1.4648473,2.0163735,1.4829181,1.5989550,1.3102709,1.7291849,1.6948271,2.4485443,1.6886140,1.9691497,1.9812009,4.1849547,2.7374727,2.8267380,3.0807194,7.7832406,3.8048533
2.7327991,2.1174730,0.7765177,1.2676206,1.9067623,1.0337902,0.9947911,0.8180447,1.0143647,1.0865121,1.4707567,0.5280050,2.2488189,1.8640463,0.9730598,0.4034118,1.1811470,1.6775693,1.6346827,0.0000000,0.8689713,1.4097563,0.8731207,2.3417900,0.9619017,1.2145342,2.7869470,1.9951965,2.1179880,2.2262417,0.8175388,1.5947937,2.4376694,2.8643960,2.6809793,2.7666634,2.8582858,1.9140887,2.8836877,2.5596229,3.7465628,2.4444634,2.4951472,3.0577801,4.0583679,3.5208429,3.7757049,4.0507165,7.8180321,3.9565304
