UT,ID,AZ,OK,MS,NC,TN,FL,NV,TX,SD,AL,CO,NM,GA,AR,IN,KY,KS,SC,MO,OR,LA,IA,WV,MT,VA,WI,CA,WA,MI,OH,NE,MN,ME,ND,HI,IL,MD,DE,NH,PA,RI,MA,AK,VT,NJ,CT,NY
1.7079202,2.0683985,1.8096546,1.2424929,3.2974053,1.1992741,2.0778588,1.3056032,1.0345092,1.2613800,0.0000000,2.1608951,1.0145239,3.2576510,1.5707261,2.1357566,0.5429257,2.3672783,0.3481297,1.8594307,1.0072087,1.6924351,2.1750494,1.2920762,2.0525765,1.2268310,1.8830691,1.0668622,1.9164582,1.5140316,1.1987603,1.3840932,1.5885157,1.9939375,2.6451054,1.9389818,2.0534257,1.6611555,2.1648280,2.5959225,2.9313358,2.0605630,2.3445857,2.8402478,4.2490096,3.2541633,3.4051929,3.8766235,4.4847173
3.2661792,2.5509200,0.6376016,2.3172349,1.9308605,1.5069695,1.1179360,1.1825289,1.4810675,2.1428390,2.1608951,0.0000000,3.1553925,1.8762692,1.4139523,0.3225483,1.8404668,2.0231039,2.3216261,0.5391093,1.4427535,1.9422487,1.1107364,3.1871632,1.3502379,1.7913027,3.7064717,2.7531465,3.0948383,3.3711828,1.4500983,2.3817496,3.4671034,3.8718731,3.3788887,3.4580528,3.7405592,2.9756012,3.8652165,4.1445054,4.6164572,3.3257176,3.3072282,4.5266766,5.2215369,4.2861165,4.8700532,5.4214917,5.3006500
1.5838854,2.5025945,2.8051202,1.6719649,4.0865962,1.9825709,3.0279552,2.2195219,1.9925290,1.7565377,1.0145239,3.1553925,0.0000000,4.1671794,2.3195749,3.1324445,1.3689645,2.9561070,0.9098065,2.8352434,1.9447796,2.2640874,3.0402115,0.7674257,2.8277201,1.9088297,1.2211319,1.0043552,1.9009212,0.8848747,2.0187496,1.6517724,0.9271723,1.2374271,2.6971238,1.6719997,1.5199771,1.6301644,1.7537014,2.1375486,2.2961773,1.8860542,2.2813639,2.1957095,4.1420837,3.0248085,2.8540813,3.2289589,4.2499146
4.7421247,4.3199047,2.1240086,3.0388892,3.5565651,3.0579437,1.2215281,2.8671835,2.3177445,2.9541801,3.2576510,1.8762692,4.1671794,0.0000000,2.9655505,1.7448598,3.1648603,3.7916886,3.4678660,2.1383416,2.4033033,3.6677165,1.6401172,4.4116444,3.0897016,3.2984519,4.9967977,4.0395077,3.5517264,4.4048118,2.7316874,3.7532172,4.5241154,5.0293668,5.0328604,4.7369893,4.9287409,3.6707022,4.3772245,4.5312646,5.7787631,4.3783287,4.5678598,5.1467591,4.6972894,5.5577052,5.7897952,6.2014732,5.6733903
2.4618557,1.9335842,1.3349304,1.6307087,1.9011605,0.4932591,2.0044863,0.9345417,1.6774242,1.3533463,1.5707261,1.4139523,2.3195749,2.9655505,0.0000000,1.5733500,1.1006834,1.0829133,1.6873845,1.3204236,1.5158269,1.0685249,1.4826055,2.2088470,0.9659428,1.2602149,2.6000828,1.8377341,2.2777993,2.2945219,1.1317965,1.2303847,2.4651655,2.8080227,2.4153587,2.6826197,2.7620636,2.2659587,3.3516826,3.3755927,3.6906277,2.4327501,2.2894804,3.6207770,5.1499243,3.4200623,3.9163408,4.4307861,4.5391374
3.3259048,2.6782723,0.7998687,2.3763752,2.1913369,1.6450723,0.9915972,1.2616619,1.3713317,2.2075708,2.1357566,0.3225483,3.1324445,1.7448598,1.5733500,0.0000000,1.8444215,2.2239788,2.2764491,0.4367970,1.3032006,2.0204948,1.0904347,3.1696721,1.4428522,1.7541817,3.7135237,2.7268910,3.0876318,3.3653811,1.3644756,2.4088150,3.4323914,3.8511620,3.4168714,3.3852504,3.6919828,2.8733166,3.7089522,4.0527482,4.5465035,3.2508193,3.2813264,4.4451284,4.9997594,4.2209778,4.7869483,5.3435010,5.2049263
1.7871058,1.8112823,1.5797813,1.3762701,2.8212089,0.7819534,2.0127266,0.9134412,1.1060684,1.2527508,0.5429257,1.8404668,1.3689645,3.1648603,1.1006834,1.8444215,0.0000000,1.8634908,0.5929770,1.5134456,0.9322453,1.1877779,1.9089459,1.3666600,1.5268256,0.7919380,1.9136642,0.9941732,2.0074991,1.6196531,0.8073541,1.0002680,1.6917432,2.0742100,2.2859045,1.8900846,2.0428370,1.6695452,2.4305030,2.7763844,2.9564851,1.9157314,2.0534300,2.9823880,4.5006356,3.0350235,3.3754918,3.9036506,4.3779649
2.5894023,1.6467793,2.0271692,2.6041755,1.3553919,1.2938039,2.9163607,1.4829301,2.5859117,2.3477534,2.3672783,2.0231039,2.9561070,3.7916886,1.0829133,2.2239788,1.8634908,0.0000000,2.3865201,1.9343049,2.4006675,0.9794849,2.3773791,2.6274190,1.0011109,1.6746801,2.8392602,2.2770654,3.1776922,2.8489706,1.8842982,1.6473817,2.9630800,3.1448568,1.9833906,2.8926130,3.0407581,3.0124599,4.0716815,4.1415665,3.8591864,2.8145732,2.4043226,4.2172543,6.0772435,3.3517142,4.1880511,4.7738489,4.9730475
1.6149127,2.0330881,2.0257317,1.5300961,3.3864267,1.3461836,2.3063590,1.3987224,1.2383853,1.5111379,0.3481297,2.3216261,0.9098065,3.4678660,1.6873845,2.2764491,0.5929770,2.3865201,0.0000000,1.9566195,1.1151129,1.6080310,2.3493936,1.0361868,2.0491567,1.0934209,1.6499301,0.7764760,2.0235220,1.3808509,1.1824679,1.2600349,1.3692957,1.7525051,2.4080112,1.5959133,1.7550247,1.5322622,1.9759636,2.5178480,2.6148988,1.8046384,2.1081238,2.6799232,4.2142242,2.9442761,3.1383770,3.6480620,4.3409280
2.9783721,2.3330408,0.8348512,2.2681619,2.1108837,1.3657877,1.2564909,0.9157093,1.2486204,2.0817421,1.8594307,0.5391093,2.8352434,2.1383416,1.3204236,0.4367970,1.5134456,1.9343049,1.9566195,0.0000000,1.0883954,1.6130302,1.2249150,2.8053257,1.0969441,1.3299608,3.3362347,2.3479389,2.9515560,3.0525769,1.0101400,2.0457390,3.0937091,3.4875170,2.9915240,2.9780367,3.3074229,2.6152536,3.4539301,3.8464051,4.1517905,2.8973719,2.9054077,4.1740561,4.9532543,3.8189442,4.4399803,5.0246678,4.9985919
