VMT
225529
217643
249741
251374
258276
258395
264472
260297
241970
252209
237264
239593
220839
210635
254238
253936
256927
260083
265315
263837
244682
256395
239579
240800
223790
213463
253124
249578
254083
258350
260175
260526
242062
251906
238535
244810
227527
218196
256166
249394
260774
260376
260244
264379
238867
253574
240361
238709
229419
215803
253026
252064
263406
259980
263946
268061
242536
258748
240055
241237
226413
213949
253424
256736
266237
263459
270053
268831
247688
265144
241451
252271
233498
217220
258017
262817
270839
270574
278372
272209
255090
268469
248843
259424
239679
223011
265147
269653
277972
276991
285160
279213
262039
275610
255154
264778
244587
226947
267355
272904
283956
280537
287343
283184
262673
278937
257712
266535
245695
226660
268480
272475
286164
280877
288145
286608
260595
282174
258590
268413
