Country Name,GDP per capita,AvgLifeExp,logGDP,Inequity,EducSpending,PovertyRate,DummyVar
"Iran, Islamic Rep.",20200,74.0687561,4.305351369,44.5,3.7,0.187,39.49337097
Iraq,17000,69.47168293,4.230448921,44.5,3.7,0.23,29.97967301
Iceland,51800,83.11707317,4.71432976,28,7.6,0.149,25.31480155
Israel,36300,82.05609756,4.559906625,42.8,5.6,0.22,33.48243061
Italy,38100,82.2902439,4.580924976,31.9,4.5,0.299,31.39402443
Jamaica,9200,73.46892683,3.963787827,35,6.1,0.171,34.31766006
Jordan,12500,73.90141463,4.096910013,39.7,3.8,0.142,38.26558626
Japan,42800,83.33195122,4.631443769,37.9,3.8,0.161,37.86242871
Kazakhstan,26300,70.45,4.419955748,26.3,3.1,0.026,22.58647388
Kenya,3500,61.68397561,3.544068044,48.5,6.7,0.361,45.64909822
Kyrgyz Republic,66200,70.20243902,4.820857989,23.2,3.8,0.176,17.05905299
Cambodia,4000,71.74756098,3.602059991,37.9,2.6,0.165,25.81981359
Kiribati,2000,68.84907317,3.301029996,48.5,12,0.361,39.25484638
"Korea, Rep.",1700,81.4597561,3.230448921,48.5,12,0.361,31.6216338
Kosovo,10500,70.79756098,4.021189299,23.2,4.3,0.176,21.7157184
Kuwait,66200,74.4627561,4.820857989,23.2,3.8,0.176,18.24326967
Lao PDR,3700,68.24941463,3.568201724,33.4,6.8,0.321,24.42851373
Lebanon,19400,80.12887805,4.28780173,34.5,2.2,0.286,22.08541704
Liberia,1400,60.53187805,3.146128036,32,2.8,0.541,30.04302723
Libya,10000,75.36168293,4,32,2.8,0.541,21.39402291
St. Lucia,12800,74.79195122,4.10720997,39.2,1.7,0.067,27.41952477
Liechtenstein,139100,82.38292683,5.14332713,32,2.1,0.541,28.00599665
Sri Lanka,12800,74.24029268,4.10720997,39.2,1.7,0.067,24.42933383
Lesotho,3600,49.33146341,3.556302501,63.2,13,0.57,58.41707316
Lithuania,32300,74.16341463,4.509202522,37.9,5.4,0.221,31.62487093
Luxembourg,106300,81.79756098,5.026533265,30.4,3.7,0.221,30.16527752
Latvia,27600,73.9804878,4.440909082,34.5,5,0.255,25.60886881
"Macao SAR, China",106300,80.3437561,5.026533265,30.4,3.7,0.221,25.57556878
St. Martin (French part),12800,79.17073171,4.10720997,39.2,1.7,0.067,23.75271499
Morocco,8600,70.87212195,3.934498451,40.9,5.4,0.15,36.71693752
Moldova,5700,68.8115122,3.755874856,26.8,8.4,0.096,16.88603012
Madagascar,1600,64.69139024,3.204119983,41,2.7,0.707,40.76092738
Maldives,19100,77.93536585,4.281033367,38.4,6.8,0.15,30.47050864
Mexico,19900,77.35402439,4.298853076,48.2,5.1,0.462,31.8460331
"Macedonia, FYR",14900,75.18802439,4.173186268,33.7,2.7,0.215,20.70375449
Mali,2200,55.0135122,3.342422681,40.1,4.8,0.361,24.36001158
Malta,42000,80.74634146,4.62324929,28.1,6.9,0.163,24.08112818
Myanmar,1200,65.09968293,3.079181246,45.6,5,0.461,34.82146071
Montenegro,17700,74.75836585,4.247973266,31.9,5.5,0.086,31.85090817
Mongolia,13000,67.54819512,4.113943352,34,5.5,0.296,32.27022579
Mozambique,1200,50.17336585,3.079181246,45.6,5,0.461,36.86166862
Mauritania,4400,61.5117561,3.643452676,37,3.7,0.31,24.65452766
Mauritius,21600,74.46,4.334453751,35.9,3.5,0.08,28.20541989
Malawi,1200,55.23470732,3.079181246,46.1,5.4,0.507,30.28759854
Malaysia,29000,75.01626829,4.462397998,46.2,5.9,0.038,34.14059098
Namibia,11300,64.34387805,4.053078443,59.7,8.4,0.287,39.15424124
New Caledonia,31100,77.12195122,4.492760389,30.3,5.9,0.17,19.4089905
Niger,1200,58.44270732,3.079181246,34,4.2,0.454,31.68977722
Nigeria,5900,52.49978049,3.770852012,48.8,4.2,0.7,45.16259239
Nicaragua,5800,74.78817073,3.763427994,47.1,4.6,0.296,35.97860271
Netherlands,53600,81.10487805,4.72916479,30.3,5.9,0.088,24.16696983
Norway,71800,81.45121951,4.856124444,26.8,6.9,0.7,23.29386365
Nepal,2700,68.40385366,3.431363764,32.8,4.7,0.252,23.87929048
New Zealand,38900,81.40731707,4.589949601,36.2,7.4,0.17,33.5447267
Oman,45200,76.85202439,4.655138435,26.8,4.3,0.7,16.36441176
Pakistan,5400,66.58536585,3.73239376,30.7,2.1,0.295,24.83320198
Panama,25400,77.57895122,4.404833717,50.7,3.5,0.23,32.46202495
Peru,13300,74.81460976,4.123851641,45.3,2.8,0.227,39.01486156
Philippines,8300,68.7144878,3.919078092,44.4,2.7,0.216,28.54189669
Papua New Guinea,3700,62.43073171,3.568201724,50.9,3.5,0.37,49.60398986
Poland,29500,76.84878049,4.469822016,30.8,5.2,0.176,22.09305596
Puerto Rico,37300,78.71119512,4.571708832,33.9,5.6,0.19,22.2674415
"Korea, Dem. Rep.",2000,69.80695122,3.301029996,48.5,12,0.361,37.52212843
Portugal,30400,80.37317073,4.482873584,33.9,5.6,0.19,31.22512204
Paraguay,9800,72.2734878,3.991226076,51.7,4.8,0.222,45.35023972
French Polynesia,17000,76.33904878,4.230448921,29.3,5.9,0.197,27.83342094
Qatar,124500,78.60690244,5.095169351,33.9,2.5,0.19,22.96628196
Romania,24500,74.46341463,4.389166084,27.3,4.2,0.224,26.4207547
Russian Federation,27800,71.07317073,4.444044796,41.2,4.1,0.133,34.3445096
Rwanda,2100,63.99397561,3.322219295,50.4,5.1,0.391,33.7309013
Saudi Arabia,54800,75.70336585,4.738780558,45.9,5.1,0.662,37.52969018
Sudan,4600,62.0444878,3.662757832,39.2,1.7,0.465,27.55817548
Senegal,2700,63.35073171,3.431363764,40.3,5.6,0.467,26.69051941
Singapore,93900,82.34634146,4.972665592,45.9,3,0.702,29.64839433
Solomon Islands,2200,67.71690244,3.342422681,24.4,7.3,0.139,20.73495613
Sierra Leone,1600,45.55095122,3.204119983,34,2.9,0.702,21.65954072
El Salvador,8900,72.33892683,3.949390007,36,3.4,0.327,24.1228994
Somalia,2200,55.0245122,3.342422681,24.4,7.3,0.139,18.86935159
Serbia,15000,75.13658537,4.176091259,38.7,4.8,0.089,35.67132932
South Sudan,1500,55.24121951,3.176091259,46,6,0.66,35.0559711
Sao Tome and Principe,3200,66.26097561,3.505149978,30.8,9.5,0.662,30.66772077
Suriname,14600,71.03163415,4.164352856,39.2,1.7,0.7,38.03410458
Slovak Republic,66800,76.26097561,4.824776462,45.9,3,0.702,44.71641385
Slovenia,34400,80.27804878,4.536558443,24.4,5.7,0.139,24.0332905
Sweden,51500,81.70487805,4.711807229,24.9,7,0.15,20.68517993
Swaziland,14600,48.93792683,4.164352856,39.2,8.3,0.7,27.46606168
