Gymnast,Vault,Floor
Simone Biles,32.2,31.25
Christina Desiderio,27.25,26.35
Gabby Douglas,30.1,29.2
Brenna Dowell,29.95,29.05
Rachel Gowey,29.3,26.35
Laurie Hernandez,30.3,30
Amelia Hundley,30.05,28.85
Maggie Nichols,30.2,29.65
Madison Kocian,27.9,28.95
Aly Raisman,30.45,30.5
Emily Schild,29.65,27.35
MyKayla Skinner,30.95,29.6
Regan Smith,29.25,29.2
